playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,inducted
adamecr01,154,293,30,63,8,4,2,20.0,2.0,4.0,27,63.0,1.0,5.0,4.0,0.0,6.0,0.2150170648464164,N
adamsac01,302,99,9,12,0,0,0,2.0,0.0,0.0,6,14.0,0.0,0.0,8.0,0.0,2.0,0.12121212121212122,N
adamsau01,53,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,N
adamsba01,482,1019,79,216,31,15,3,75.0,1.0,1.0,53,177.0,0.0,1.0,35.0,0.0,0.0,0.21197252208047104,N
adamsbe01,267,678,37,137,17,4,2,45.0,9.0,0.0,23,79.0,0.0,1.0,23.0,0.0,0.0,0.20206489675516223,N
adamsbo01,2,3,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,N
adamsbo02,5,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsbo03,1281,4019,591,1082,188,49,37,303.0,67.0,30.0,414,447.0,1.0,17.0,78.0,5.0,62.0,0.2692211993033093,N
adamsbo04,15,24,2,6,1,0,2,2.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.25,N
adamsbu01,576,2003,282,532,96,12,50,249.0,12.0,0.0,234,281.0,0.0,13.0,42.0,0.0,35.0,0.2656015976035946,N
adamsda01,47,55,1,8,0,0,1,3.0,0.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0,0.14545454545454545,N
adamsda02,43,140,10,27,5,1,2,13.0,0.0,0.0,9,43.0,0.0,2.0,1.0,0.0,4.0,0.19285714285714287,N
adamsdi01,37,89,9,18,2,3,2,11.0,0.0,0.0,2,18.0,0.0,0.0,2.0,0.0,0.0,0.20224719101123595,N
adamsdo01,8,14,1,3,0,0,0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,0.21428571428571427,N
adamsge01,4,13,0,3,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,N
adamsgl01,661,1617,152,452,79,5,34,225.0,6.0,10.0,111,183.0,8.0,4.0,9.0,19.0,47.0,0.2795299938157081,N
adamshe01,95,337,39,88,8,6,0,18.0,4.0,2.0,22,24.0,0.0,2.0,3.0,0.0,5.0,0.26112759643916916,N
adamsji01,1,4,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,N
adamsjo01,1,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsjo02,44,10,0,3,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,N
adamska01,30,32,0,1,0,0,0,0.0,0.0,0.0,0,16.0,0.0,0.0,1.0,0.0,0.0,0.03125,N
adamsla01,6,3,1,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsma01,455,1381,160,373,81,5,55,210.0,4.0,4.0,89,340.0,7.0,5.0,0.0,11.0,27.0,0.27009413468501087,N
adamsmi01,11,6,1,2,0,1,0,1.0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,N
adamsmi02,100,118,27,23,5,0,3,9.0,2.0,1.0,32,29.0,0.0,2.0,0.0,0.0,2.0,0.19491525423728814,N
adamsmi03,410,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsre01,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsri01,11,23,1,4,0,0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,N
adamsri02,120,247,35,53,5,1,4,16.0,3.0,2.0,10,37.0,3.0,5.0,7.0,0.0,5.0,0.2145748987854251,N
adamsru01,286,884,125,218,46,7,17,113.0,15.0,5.0,85,118.0,2.0,5.0,8.0,11.0,14.0,0.24660633484162897,N
adamsry01,29,89,9,25,4,0,0,7.0,0.0,0.0,6,25.0,0.0,1.0,0.0,0.0,7.0,0.2808988764044944,N
adamssp01,1424,5557,844,1588,249,48,9,394.0,154.0,50.0,453,223.0,0.0,28.0,136.0,0.0,14.0,0.2857657009177614,N
adamssp02,180,395,61,101,16,5,0,38.0,5.0,10.0,38,50.0,0.0,2.0,12.0,0.0,0.0,0.25569620253164554,N
adamste01,574,78,2,4,1,0,0,2.0,0.0,0.0,7,41.0,0.0,0.0,12.0,1.0,1.0,0.05128205128205128,N
adamswi01,65,88,4,9,1,1,0,2.0,0.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0,0.10227272727272728,N
adamswi02,25,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
adcocjo01,1959,6606,823,1832,295,35,336,1122.0,20.0,25.0,594,1059.0,55.0,17.0,52.0,35.0,223.0,0.2773236451710566,N
adcocna01,56,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
addisbo01,208,534,70,150,22,2,2,47.0,8.0,6.0,37,47.0,0.0,0.0,5.0,0.0,9.0,0.2808988764044944,N
adducji01,70,144,11,34,8,1,1,15.0,0.0,1.0,2,27.0,0.0,0.0,1.0,3.0,1.0,0.2361111111111111,N
adducji02,61,132,15,25,4,0,1,8.0,5.0,1.0,13,36.0,0.0,0.0,1.0,2.0,2.0,0.1893939393939394,N
addybo01,274,1231,227,341,35,12,1,172.0,30.0,15.0,19,7.0,0.0,0.0,0.0,0.0,0.0,0.2770105605199025,N
adenhni01,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
aderhmo01,106,262,36,70,7,3,3,32.0,3.0,1.0,19,29.0,0.0,0.0,0.0,0.0,1.0,0.26717557251908397,N
adkinde01,38,22,2,5,1,0,1,3.0,0.0,0.0,0,10.0,0.0,0.0,1.0,0.0,0.0,0.22727272727272727,N
adkindi01,3,7,2,1,0,0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,N
adkindo01,6,12,1,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,N
adkingr01,76,116,9,21,3,3,0,6.0,1.0,0.0,6,26.0,0.0,1.0,10.0,0.0,0.0,0.1810344827586207,N
adkinhe01,1,5,1,2,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,N
adkinjo01,119,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adkinst01,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
adlemti01,13,21,2,4,2,0,0,3.0,0.0,0.0,0,11.0,0.0,0.0,2.0,0.0,0.0,0.19047619047619047,N
adlesda01,106,256,9,43,3,1,1,11.0,0.0,0.0,18,80.0,5.0,2.0,2.0,1.0,9.0,0.16796875,N
adriaeh01,154,291,27,64,16,1,3,26.0,4.0,4.0,23,60.0,1.0,7.0,9.0,1.0,5.0,0.21993127147766323,N
afenitr01,45,79,4,15,2,2,0,7.0,0.0,0.0,5,32.0,0.0,0.0,1.0,1.0,1.0,0.189873417721519,N
affelje01,774,17,0,3,0,0,0,2.0,0.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,N
agbaybe01,383,1091,145,299,57,6,39,156.0,16.0,16.0,139,246.0,7.0,15.0,1.0,8.0,31.0,0.27406049495875345,N
ageeto01,1129,3912,558,999,170,27,130,433.0,167.0,81.0,342,918.0,26.0,34.0,21.0,15.0,99.0,0.2553680981595092,N
agganha01,157,517,65,135,23,9,11,67.0,8.0,3.0,57,67.0,0.0,0.0,7.0,6.0,9.0,0.2611218568665377,N
aglerjo01,234,751,121,185,22,10,0,36.0,38.0,0.0,131,130.0,0.0,1.0,21.0,0.0,0.0,0.24633821571238348,N
agnewsa01,563,1537,105,314,41,14,2,98.0,29.0,10.0,102,216.0,0.0,25.0,47.0,0.0,0.0,0.20429407937540664,N
agostju01,543,20,0,2,0,0,0,0.0,0.0,0.0,1,7.0,0.0,0.0,1.0,0.0,0.0,0.1,N
aguaylu01,568,1104,142,260,43,10,37,109.0,7.0,5.0,94,220.0,12.0,20.0,14.0,12.0,27.0,0.23550724637681159,N
aguilch01,149,230,26,53,13,2,3,16.0,2.0,2.0,16,61.0,1.0,0.0,2.0,0.0,3.0,0.23043478260869565,N
aguilje01,35,58,2,10,1,0,0,5.0,0.0,0.0,4,21.0,0.0,1.0,0.0,1.0,1.0,0.1724137931034483,N
aguilri01,737,139,12,28,3,0,3,11.0,0.0,0.0,6,37.0,0.0,0.0,16.0,0.0,1.0,0.2014388489208633,N
aguirha01,447,388,14,33,7,1,0,21.0,1.0,0.0,14,236.0,0.0,0.0,24.0,1.0,4.0,0.08505154639175258,N
ahearch01,1,4,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,N
